Source,Type of Source,Text,Label,Geographical_Location,Author_Country_Affiliation,
https://www.counterextremism.com/extremists/abdulrahman-tn-aka-tawheednetwrk,Website,#America as nation only represent terror,Propaganda,USA,USA,
https://www.counterextremism.com/extremists/abdulrahman-tn-aka-tawheednetwrk,Website,The blood of our martyrs is dear to us anything else in this dunya.,Propaganda,Iraq,USA,
https://www.counterextremism.com/extremists/epic,Website,Takbir guys. Please pray for more casualties of those who insult the prophet SAW,Propaganda,-,USA,
https://www.counterextremism.com/extremists/epic,Website,Kill them all. Don’t leave a single soul,Propaganda,-,USA,
https://www.counterextremism.com/extremists/epic,Website,Srebrencia massacre. Revenge will come when IS reaches Bosnia. Biiznillah ta'ala,Propaganda,Bosnia,USA,
https://www.counterextremism.com/extremists/epic,Website,Happiness is coming to home  and finding your wife listening to Imam Anwar Al Awlaki.,Propaganda,-,USA,
https://www.counterextremism.com/extremists/epic,Website, The same song will repeat. IS  will bring slaughter on kuffar.,Propaganda,-,USA,
https://www.counterextremism.com/extremists/epic,Website,Kashmiris should kill the cow worshipers. No need to protest.,Propaganda,-,USA,
https://www.counterextremism.com/extremists/epic,Website,"Allah ordered you to fight, not to have peaceful protests.",Propaganda,-,USA,
https://www.counterextremism.com/extremists/abu-suleymaan-aka-wilayatninawa,Website,Martyrdom operation in #Saudi building for security forces kill 13,Propaganda,Saudi Arabia,USA,
https://www.counterextremism.com/extremists/sally-jones,Website,"Im proud my husband was killed by the biggest enemy of Allah, may Allah be pleased with him and I will never ever love anyone but him <3",Propaganda,-,USA,
https://www.counterextremism.com/extremists/sally-jones,Website,2nd kill list released on 9-11 of 100 US Military - please retweet,Propaganda,USA,USA,
https://www.counterextremism.com/content/isis-recruiters-propagandists-and-inciters-violence-operating-twitter,Website,IS using mustard gas against enemies. Allahu Akbar,Propaganda,-,USA,
https://www.counterextremism.com/content/isis-recruiters-propagandists-and-inciters-violence-operating-twitter,Website,"Fight the kuffar, until they pay jizjah & law of Allah rules on the land Fight Them. By permission of Allah, we will be successful ",Propaganda,-,USA,
https://www.counterextremism.com/extremists/abu-mutassim-aka-abumutassim03,Website,soon Al Aqsa will be liberated from descendants of pigs and apes. The end to head shaking in the Holy Mosque,Propaganda,-,USA,
https://www.counterextremism.com/extremists/ali-al-foutawi-aka-alifoutawiiv,Website,The khilaafa needs supporters who act and not supporters who merely speak,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abdul-baset-egwilla,Website,"Allah they have gathered against us and are scheming against us, so scheme against them. Trick them, kill them.",Propaganda,-,USA,
https://www.counterextremism.com/extremists/abdul-baset-egwilla,Website, We are waiting for martyrdom in the name of Allah. And by Allah this is our path until we push back evil. We will not stop nor resign.,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abdul-baset-egwilla,Website,"Jihad today is simple and easily accessible, and does not require moving as in the past, as it was for Afghanistan and Iraq",Propaganda,"Afghanistan,Iraq",USA,
https://www.counterextremism.com/extremists/abdul-alim-musa,Website,"We have to have serious unity. The Muslims have to focus on affecting the direction of change. They are frightening the Muslims and the Muslims are too afraid to speak out for themselves. Those of us who speak out become an automatic target. But we have to speak out all together [sic] and we have to challenge our oppression. If we don’t challenge our oppression, then they’ll keep on doing it. We want to thank all the people of the Islamic Republic for supporting us here in America, and we thank you Press TV",Propaganda,USA,USA,
https://www.counterextremism.com/extremists/abdul-alim-musa,Website,"We view Islamophobia from the position of what we call the ‘Triangle of Terror.’ The Triangle of Terror in the world today relates to, number one, the United States’ government. When the triangle wants to invade our countries, like Iraq or Afghanistan, in a military way, it’s done by the United States of America.",Propaganda,"Afghanistan,Iraq,USA",USA,
https://www.counterextremism.com/extremists/abdul-alim-musa,Website,"Number two is the Zionist state of Israel and its media outlets all over the world; that is ‘image management,’ that is ‘perception management.’ It is the Zionists giving a picture of Islam and Muslims that justifies the invasion by the United States of Muslim peoples.",Propaganda,"Israel,USA",USA,
https://www.counterextremism.com/extremists/abdul-alim-musa,Website,"And number three is Saudi Arabia. Saudi Arabia is the inter-fitna initiator amongst the Muslims. Whether we have bombings and killings of Shia centers in Iraq; whether we have the support of murderous, barbarous Takfiri forces in Syria fighting against the government; where there is bombings in Pakistan; where there is websites; where there is Saudi Arabian support of the regime in Bahrain.",Propaganda,Saudi Arabia,USA,
https://www.counterextremism.com/extremists/abdul-alim-musa,Website,The whole Western world is out against Islam.,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abdul-alim-musa,Website,"If you go back for the last 20 years, from the first World Trade Center bombing in ‘93... This is our view, from those who... We said it then, and we say it now, and this is the belief in the Muslim world: 90% of the bombing plots- or this plot or that plot- we believe is done by and with the help and the aid of Mossad, and the United States government. This is our experience.",Propaganda,USA,USA,
https://www.counterextremism.com/extremists/abdul-alim-musa,Website,"We have ‘CIA Patterns of Deception,’ ‘Zionist Control of Media,’ ‘Babylon the Great’- these are years old- ‘Bush the Unifier’… Our belief has always been, since 1993, and we’ve done TV programs on it- that the United States government... Who do you talk about? You talk about Al-Qaeda. Where did Al-Qaeda come from? Al-Qaeda, Bin Laden, and all that- those are US friends.",Propaganda,USA,USA,
https://www.counterextremism.com/extremists/abdul-alim-musa,Website,"Who ran the slave trade…who funded [it]? You'll study and you will find out: the Jews…It was the Jewish bankers…in Vienna, with pockets full of money, funding and insuring, that’s who did it…you can't tell us about no holocaust. Between the African Americans and the Native Americans, everybody else’s stuff was small potatoes",Propaganda,USA,USA,
https://www.counterextremism.com/extremists/abdul-alim-musa,Website,Hezbollah is a great movement and a great organization,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abdul-alim-musa,Website,"Hamas just means enthusiasm. I know Hamas. They are nice people, very nice people.",Propaganda,-,USA,
https://www.counterextremism.com/extremists/abdul-alim-musa,Website,"The American ship is going down. And it’s clowns like that that’s driving it down. We don’t have to do nothing. Just step back, pray, fast, do good deeds, and stuff like that. And let that guy go…When he finishes, nobody will love, nobody will trust, and nobody will believe anything coming from the United States of America.",Propaganda,USA,USA,
https://www.counterextremism.com/extremists/abdul-alim-musa,Website,"When 9/11 happened, the only people who understood it really was Black people. They know that when you have an election-stealing president that has no credibility, he needs something to make him presidential. If you remember before 9/11, the big conference they held in Durban, South Africa, Black people was [sic] attuned to Zionism is racism- we know that as a people. Amerikkka (original spelling) needed something to take them off of the most-hated list, but it never worked.",Propaganda,"USA, South Africa",USA,
https://www.counterextremism.com/extremists/abdul-alim-musa,Website,"We got to get rid of this new Hitler…Just like Hitler burned the Reichstag…to gain full power over the people…George Bush brings down the World Trade Center, blames it on us [Muslims] and then claims himself dictator over the world. So we're here to say it's all over for George.",Propaganda,-,USA,
https://www.counterextremism.com/extremists/abdul-alim-musa,Website,the united forces of kufr [non-believers]…the criminal constitutional dictatorship of the USA.,Propaganda,USA,USA,
https://www.counterextremism.com/extremists/abdul-alim-musa,Website,"If you don't stay out of our way and leave us alone, we're going to burn America down.",Propaganda,USA,USA,
https://www.counterextremism.com/extremists/abdul-alim-musa,Website,Islam went everywhere in the [ancient] world…so why can't Islam take over America…We are on the right road.,Propaganda,USA,USA,
https://www.counterextremism.com/extremists/abdul-alim-musa,Website,Yahuds [Jews] are the enemies of humanity.,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abdullah-al-faisal,Website,"An earthquake in Malaysia ! The Malays need to do some soul searching and give up Sufism bcs its Kufr, Shirk and Zandaqa",Propaganda,Malaysia,USA,
https://www.counterextremism.com/extremists/abdullah-al-faisal,Website,Palestians like Abu Qatada shud be the 1st to give Bay'ah [pledge of allegiance] to the dawla [ISIS] bcs they desperately need dawla to liberate them from Jewish tyranny.,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abdullah-al-faisal,Website,O mankind !  Didn't i predict Allah would destroy Texas because they held a meeting to use cartoons to insult Muhammad (saw) ????,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abdullah-al-faisal,Website,The people of Palestine shud dump Hamas and give their Bayah [pledge of allegiance] to Dawla [ISIS] bcs Hamas are misguided Democrats who dont know anything about Islam.,Propaganda,Palestine,USA,
https://www.counterextremism.com/extremists/abdullah-al-faisal,Website,If the white man is worried about the survival of his race why is he promoting gay marriages in his society??!!,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abdullah-al-faisal,Website,Hurricane katrina was Allah's revenge for the infidels invading iraq with a big lie about weapons of mass destruction.,Propaganda,Iraq,USA,
https://www.counterextremism.com/extremists/abdullah-al-faisal,Website,Any Mujahid [religious fighter] who doesn’t give his bayah (allegiance) to Dawla (ISIS) is a fake Jihadi and his death will b in vain. So please b warned.,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abdullah-al-faisal,Website,"Why should Jews commit genocide and then play the race card to defend themselves. To me, Hitler was right.",Propaganda,-,USA,
https://www.counterextremism.com/extremists/abdullah-al-faisal,Website,"Who are those that reject the Dawla (ISIS)?…The people that claim that the sharia is not important, don’t think about the sharia, think about themselves.",Propaganda,-,USA,
https://www.counterextremism.com/extremists/abdullah-al-faisal,Website,"When you see that the Dawla cut off the heads of Shi’as you will think that’s extreme, these people are crazy…first of all, the classical scholars did not consider Shi’as as Muslims…you don’t know what the Shi’as believe and you don’t know why the Dawla is so harsh against the Shi’as.",Propaganda,-,USA,
https://www.counterextremism.com/extremists/abdullah-al-faisal,Website,"Did you know that they say Abu Bakr al Baghdadi is a Jew? When they accuse Abu bakr al Baghdadi of being a Jew, what are they? They are noth­ing but the bark­ing dogs of jahhanam (hell).",Propaganda,-,USA,
https://www.counterextremism.com/extremists/abdullah-al-faisal,Website,"Instead of embracing the Islamic State, supporting the Islamic State and doing everything humanly possible for the success of the state … all they do is slander the mujahideen.",Propaganda,-,USA,
https://www.counterextremism.com/extremists/abdullah-al-faisal,Website,The Islamicstate has no borders because we are meant to be mujahideen sans frontiers ISIS,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abdullah-al-faisal,Website,The way forward is the bullet. Our motto is ‘might is right.,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abdullah-al-faisal,Website,You are only allowed to use nuclear weapons in that country [India] which is 100% unbelievers.,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abdullah-al-faisal,Website,We believe in the bullet not the ballot.,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abdullah-al-faisal,Website,"How do you fight a Jew? You kill a Jew. In the case of Hindus, by bombing their businesses.",Propaganda,-,USA,
https://www.counterextremism.com/extremists/abu-adam-al-muhajir,Website,Quran in my right hand and Kalashnikov in my left as I walk to my lord.Kik-IronMuhajir,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abu-adam-al-muhajir,Website,Beautiful to see how these kids love seeing Mujahideen and how they copy the way the Mujahideen dress and walk,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abu-adam-al-muhajir,Website,There is no better feeling than when the call comes for jihad The Iman jumps to its peak the body rushes to battlefield and shahada,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abu-adam-al-muhajir,Website,What brings you into reality of life in jihad when you see the brothers who you ate with trained with prayed with pass away.,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abu-adam-al-muhajir,Website,Walking in the lands of Khilafa and you meet brothers who see you smile and hug as though they have kown you for years #alwalawalbara,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abu-adam-al-muhajir,Website,Would hear about the things Dawla does for its fighters but when I came here and saw I began to appreciate the generosity of the state then,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abu-adam-al-muhajir,Website,Alhamdulilah the Allah brought us from lands of kufr to land the land of the Khilafa. Wallah it’s a dream come true ,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abu-adam-al-muhajir,Website,The brother shouted for the password and the murtad looked left and got shocked. He couldn't answer.&nbsp; We took him out then checked him,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abu-adam-al-muhajir,Website,"We came here with nothing and Dawla sheltered us, fed us, clothed us, trained us, protected us and taught us with Allah's mercy",Propaganda,-,USA,
https://www.counterextremism.com/extremists/abu-adam-al-muhajir,Website,"When we capture sahawat, nusayri, pkk, etc. soldiers, they don't even dare to pick their head up to look at us although",Propaganda,-,USA,
https://www.counterextremism.com/extremists/abu-adam-al-muhajir,Website,[W]henever I go into a army shop wallah I run around smiling and don't want to leave. I just feel like buying everything especially pistols,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abu-adam-al-muhajir,Website,[S]earching for his freedom? How can you beat the one that sees his life in his death? Strange how these kuffar fight a losing war,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abu-adam-al-muhajir,Website,They feel secure without weapons. How strange. Here even our women and children carry knives and guns. What better security is there?,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abu-adam-al-muhajir,Website,When I first came to the Khilafa I lived 4 months or so without spending a dime walhamdulilah. Goes to show the generosity of this dawla,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abu-esaa-aka-abuesaa03,Website,"As The Soldiers Of Allah inch towards Damascus, the kufar intensify the effort to try to wipe them out. KNOW that Allah has promised victory",Propaganda,-,USA,
https://www.counterextremism.com/extremists/abu-esaa-aka-abuesaa03,Website,By Allah we will conquer the White House !,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abu-esaa-aka-abuesaa03,Website,The ‘gay Muslim’ idea is just another kafir tactic They are not men to fight face to face they use their dirty tactics. Oh Allah destiny them,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abu-esaa-aka-abuesaa03,Website,We will cast terror into the hearts of thse who disbelieve for wht they have associated with Allah of which He had not sent down authority.,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abu-esaa-aka-abuesaa03,Website,The wheat has grown 40 spikes instead of 7 why? Because the shariah has been implemented on the land’ Allah hu Akbar,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abu-izzadeen,Website,"Once your islam is confirmed you can be bombed based on suspicion, the burden of proof is upon the defendant and your murder is self defense",Propaganda,-,USA,
https://www.counterextremism.com/extremists/abu-izzadeen,Website,The reason the UK media is silent is because this government condones torture and murder of sunni Muslims by thier allies on the ground,Propaganda,UK,USA,
https://www.counterextremism.com/extremists/abu-izzadeen,Website,Censorship on reporting Islamicstate victories leaves english lang media having 2makeup ever more unbelievable tales,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abu-izzadeen,Website,That’s 40 soldiers to 1 we don’t exaggerate any Islamic state victories the figures simply speak for themselves,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abu-izzadeen,Website,#texasattack the USA is a crusader nation at war with the believers they worship the cross we worship the one who created the prophet Jesus,Propaganda,USA,USA,
https://www.counterextremism.com/extremists/abu-izzadeen,Website,"It is a direct policy of war by the crusaders to murder Muslims regardless of age, race or gender  #SarrinMassacre",Propaganda,-,USA,
https://www.counterextremism.com/extremists/abu-izzadeen,Website,"USCrusaders bomb Aleppo murdering ,17 members of 1 family! But wallahi it only increases our Emaan and conviction",Propaganda,USA,USA,
https://www.counterextremism.com/extremists/abu-izzadeen,Website,"#SarrinMassacre noble peace prize winner Obama and thugs murder AhlSunnah children, premeditated murder of the young",Propaganda,-,USA,
https://www.counterextremism.com/extremists/abu-izzadeen,Website,only true leader of the Muslims is Osama bin Laden.,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abu-jandal-aka-protocolkhilafa,Website,Islamic State have water conservation projects in wilayatul khair… #islamicwelfarestate,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abu-jandal-aka-protocolkhilafa,Website,Greece under IS –Debts wiped clean –Money in the banks will be returned to the people & only pay jizya 2% -No more suffering Give Bayah now,Propaganda,Greece,USA,
https://www.counterextremism.com/extremists/abu-jandal-aka-protocolkhilafa,Website,Slowly but surely the hadith is being fulfilled. 70 countries against the IS heading towards final conflict @ Daqbiq.,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abu-jandal-aka-protocolkhilafa,Website,Only the 4th day of Ramadhan &amp; Allah has granted IS a huge victory with Wilayah Qawqaz. Alhamdulilah we still have 26 days. Lots of duas pls”<,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abu-jandal-aka-protocolkhilafa,Website,#IslamicState looks after &amp; cares for the health of its residents!,Propaganda,-,USA,
https://www.counterextremism.com/extremists/zabiullah-mujahid,Website,After 17 years of struggle we are winning the actual war and the digital war against infidels and the puppet regime established by the Americans to govern Afghanistan.,Propaganda,USA,USA,
https://www.counterextremism.com/extremists/zabiullah-mujahid,Website,"If the invaders [NATO military forces] intend to prolong the invasion for a hundred years, we have the intention and courage to combat them even for that protracted period.",Propaganda,USA,USA,
https://www.counterextremism.com/extremists/zabiullah-mujahid,Website,Targeting of some key figures was also an important part of the current operations.,Propaganda,-,USA,
https://www.counterextremism.com/extremists/zabiullah-mujahid,Website,This year we have made the enemy realize by our strong and dreadful attacks that none of their sheltered barracks and protective measures can save them from our fatal strikes.,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abu-jandal-aka-protocolkhilafa,Website,@Haliisheikh Allah decended his lions on the filthy french magazines who Insulted our Prophet peace be upon him! Alhamdulilah!,Propaganda,-,USA,
https://www.counterextremism.com/extremists/khalid-batarfi,Website,"Groups of Afghan Mujahideen have emerged from the land of Afghans that will destroy the biggest idol and head of kufr of our time, America.",Propaganda,USA,USA,
https://www.counterextremism.com/extremists/khalid-batarfi,Website,"The Muslims inside the occupied land must kill every Jew, by running him over, or stabbing him, or by using against him any weapon, or by burning their homes.",Propaganda,-,USA,
https://www.counterextremism.com/extremists/khalid-batarfi,Website,Let them [Muslims] rise and attack the Jews and the Americans everywhere … No Muslim has the right to cede Jerusalem no matter what happens … Only a traitor would give it up or hand it over.,Propaganda,USA,USA,
https://www.counterextremism.com/extremists/khalid-batarfi,Website,"Calls on all Islamic scholars, preachers, and students of theology and all factions of Islamist groups to “incite and encourage the jihad and dismiss nationalist patriotic sentiment…We advise all of those who flattered the tyrants and justified their crime to fear God and regret their actions. The tyrants don’t believe in the channels of communications",Propaganda,-,USA,
https://www.counterextremism.com/extremists/khalid-batarfi,Website,[ Al-Qaeda will] target your economy … attack your interests and destroy them.,Propaganda,-,USA,
https://www.counterextremism.com/extremists/khalid-batarfi,Website,"And as you put limits to freedom of expression and punish whomever goes against them, it is upon us to punish whoever transgresses out boundaries and sanctities",Propaganda,-,USA,
https://www.counterextremism.com/extremists/mohammed-shamsuddin,Website,"My dear Muslim brothers, there’s a war taking place… the sharia [Islamic canonical law] is coming to the UK. This black flag you see here, one day, is going to be on 10 Downing Street.",Propaganda,UK,USA,
https://www.counterextremism.com/extremists/bachrumsyah-mennor-usman,Website,"Let’s do our utmost, either physically or financially, to migrate to this Islamic state.",Recruitment,-,USA,
https://www.counterextremism.com/extremists/kim-anh-vo,Website,"We have a message to the people of the US and most importantly, your President Trump: know that we continue to wage war against you, know that your counter-attacks only makes us stronger. We will release a list with over 8,000 names, addresses and email addresses…Kill them wherever you find them.",Recruitment,-,USA,
https://www.counterextremism.com/extremists/abu-jandal-aka-protocolkhilafa,Website,Asapaamualaikum brothers &amp; sisters got susepended. Please follow back inshaAllah jazakAllah khair. May Allah bless you all..,Recruitment,-,USA,
https://www.counterextremism.com/extremists/abu-izzadeen,Website,"He [the Prophet Mohammed] said Allah will never put together the kuffar and the one who kill him inside the jahannam [hell]. So my dear Muslim brothers to kill a kaffar for the sake of Allah in jihad, be a way to the jannah [heaven] inshallah [god willing].",Recruitment,-,USA,
https://www.counterextremism.com/extremists/abu-izzadeen,Website,If your united behind one man and someone comes to disunited you kill him Saheeh Muslims,Recruitment,-,USA,
https://www.counterextremism.com/extremists/abu-izzadeen,Website,Twitter isn't a game your tweets must be directed to supporting Islam and championing our causes otherwise dont tweet,Recruitment,-,USA,
https://www.counterextremism.com/extremists/abu-hamza-al-masri,Website,"Don't go to the man who is selling a wine shop and tell him please why you selling the wine shop, come to the mosque? Make sure that the man who gave him the license for that wine shop does not exist anymore on the Earth. Finish him up.",Recruitment,-,USA,
https://www.counterextremism.com/extremists/abu-hamza-al-masri,Website,We do not hate Jews because they hurt each other - we hate them for their corruption on earth. A Jew cannot look a Muslim in the eye or pass him knowing they have oppressed a Muslim or some other Jew had oppressed a Muslim elsewhere. So [the] nation of Mohammed must regain their dignity and this dignity would not be regained unless with blood.,Recruitment,-,USA,
https://www.counterextremism.com/extremists/abu-hamza-al-masri,Website,"Killing a Kafir who is fighting you is OK. Killing a Kafir for any reason, you can say it, it is OK - even if there is no reason for it.",Recruitment,-,USA,
https://www.counterextremism.com/extremists/abu-hamza-al-masri,Website,"It is not called suicide... this is called martyring, because if the only way to hurt the enemies of Islam except by taking your life for that then it is allowed.",Recruitment,-,USA,
https://www.counterextremism.com/extremists/abu-hamza-al-masri,Website,"You must know the cause of Allah and you must help that cause in fighting, by fighting and when you fight you kill, you don't fight just to negotiate or to show off or to make videos or to make audios, fight to kill not fight to tape.",Recruitment,-,USA,
https://www.counterextremism.com/extremists/abu-adam-al-muhajir,Website,And it humbles you. Being out in jihad took me to more places than I ever did before hijra. Free tourism for the sake of Allah…,Recruitment,-,USA,
https://www.counterextremism.com/extremists/abdullah-al-faisal,Website,"You have to learn to fly planes, drive tanks and you have to learn how to load your guns and to use missiles.",Recruitment,-,USA,
https://www.counterextremism.com/extremists/abdullah-al-faisal,Website,"Our females make us proud by join­ing IS (The Islamic State, or ISIS).",Recruitment,-,USA,
https://www.counterextremism.com/extremists/abdullah-al-faisal,Website,"There is no doubt that he (Bagdadhi) [sic] is the legitimate caliph and it is incumbent upon you to give your be’ah (allegiance)… So take up arms, take up arms, O soldiers of the Islamic State! And fight, fight!",Recruitment,-,USA,
https://www.counterextremism.com/extremists/ali-al-foutawi-aka-alifoutawiiv,Website,Everyone who is capable of making hijrah must come to libya to support the khilafa .. Hijrah is indeed fard upon you.,Recruitment,Libya,USA,
https://www.counterextremism.com/extremists/ali-al-foutawi-aka-alifoutawiiv,Website,No matter how the kufaar detest the fact that there shall be an attack on their disbelieving citizens soon. ITS GONNA HAPPEN YAA KUFAAR!,Recruitment,-,USA,
